MAPA DE MARCAS RESTAURADO - 216 variantes
Conecta cada variante de una tarjeta de marca con su producto en el Super Mami.
Sin esto, esas filas nunca reciben actualizacion de costo.

CLAVE                        MARCA                    VAR  ID EN EL MAMI
new-style__1                 New Style                1    3071103
new-style__2                 New Style                2    3071108
new-style__3                 New Style                3    3070727
old-smuggler__1              Old Smuggler             1    3070440
paso-toros__1                Paso de los Toros        1    3080522
paso-toros__2                Paso de los Toros        2    3080182
paso-toros__3                Paso de los Toros        3    3080184
paso-toros__4                Paso de los Toros        4    3080058
paso-toros__5                Paso de los Toros        5    3080060
paso-toros__6                Paso de los Toros        6    3080062
paso-toros__7                Paso de los Toros        7    3080556
paso-toros__8                Paso de los Toros        8    3080523
pepsi-black__1               Pepsi Black              1    3080432
pepsi-black__2               Pepsi Black              2    3080433
pepsi-black__3               Pepsi Black              3    3080434
pepsi-black__4               Pepsi Black              4    3080597
pepsi__1                     Pepsi                    1    3080521
pepsi__2                     Pepsi                    2    3080047
pepsi__3                     Pepsi                    3    3080046
pepsi__4                     Pepsi                    4    3080561
piel-cordero__1              Piel de Cordero          1    3063800
pritty-limon__1              Pritty Limón             1    3080408
pritty-limon__2              Pritty Limón             2    3080407
pritty-limon__3              Pritty Limón             3    3080406
pritty-limon__4              Pritty Limón             4    3080410
quilmes__1                   Quilmes                  1    3100966
quilmes__2                   Quilmes                  2    3100549
quilmes__3                   Quilmes                  3    3100969
quilmes__4                   Quilmes                  4    3100532
rumipal__1                   Rumipal                  1    3080572
rumipal__2                   Rumipal                  2    3080569
rumipal__3                   Rumipal                  3    3080571
rumipal__4                   Rumipal                  4    3080573
saldan__1                    Saldan                   1    3051713
saldan__2                    Saldan                   2    3051714
saldan__3                    Saldan                   3    3051712
saldan__4                    Saldan                   4    3040690
saldan__5                    Saldan                   5    3040689
santa-julia__1               Santa Julia              1    3060360
schneider__1                 Schneider                1    3100930
schneider__2                 Schneider                2    3100652
schneider__4                 Schneider                4    3100555
schweppes__6                 Schweppes                6    3080020
sernova__1                   Sernova                  1    3071112
skyy__1                      Skyy                     1    3071291
smirnoff__1                  Smirnoff                 1    3070794
sprite-zero__2               Sprite Zero              2    3080084
sprite-zero__3               Sprite Zero              3    3080085
sprite-zero__4               Sprite Zero              4    3080199
sprite__2                    Sprite                   2    3080008
sprite__3                    Sprite                   3    3080021
sprite__4                    Sprite                   4    3080079
sprite__5                    Sprite                   5    3080029
stella__1                    Stella Artois            1    3100941
stella__2                    Stella Artois            2    3100934
villa-del-sur__1             Villa del Sur            1    3040440
villavicencio__1             Villavicencio            1    3040004
villavicencio__3             Villavicencio            3    3040006
white-horse__1               White Horse              1    3070049
